Senorita,Shawn Mendes,canadian pop,191,https://upload.wikimedia.org/wikipedia/commons/8/8d/Shawn_Mendes_and_Camila_Cabello_-_Se%C3%B1orita.png
boyfriend (with Social House),Ariana Grande,dance pop,186,https://upload.wikimedia.org/wikipedia/en/6/65/Ariana_Grande_and_Social_House_-_Boyfriend.png
Beautiful People (feat. Khalid),Ed Sheeran,pop,198,https://upload.wikimedia.org/wikipedia/commons/f/fa/Ed_Sheeran_-_Beautiful_People.png
Goodbyes (Feat. Young Thug),Post Malone,dfw rap,175,https://upload.wikimedia.org/wikipedia/en/3/30/Post_Malone_-_Goodbyes.png
I Don't Care (with Justin Bieber),Ed Sheeran,pop,220,https://upload.wikimedia.org/wikipedia/en/6/69/Ed_Sheeran_%26_Justin_Bieber_-_I_Don%27t_Care.png
Ransom,Lil Tecca,trap music,131,https://upload.wikimedia.org/wikipedia/en/8/86/Lil_Tecca_-_Ransom.png
How Do You Sleep?,Sam Smith,pop,202,https://upload.wikimedia.org/wikipedia/en/6/6d/Sam_Smith_-_How_Do_You_Sleep%3F.png
Old Town Road - Remix,Lil Nas X,country rap,157,https://static.stereogum.com/uploads/2019/07/Lil-Nas-X-Old-Town-Road-Remix-1562934924-1000x1000.jpg
bad guy,Billie Eilish,electropop,194,https://i1.sndcdn.com/artworks-000584234423-y1fg41-t500x500.jpg
Someone You Loved,Lewis Capaldi,pop,182,https://upload.wikimedia.org/wikipedia/en/a/a6/Lewis_Capaldi_-_Someone_You_Loved.png
Money In The Grave (feat. Rick Ross),Drake,canadian hip hop,205,https://production-digtracks-com.s3-ap-northeast-1.amazonaws.com/uploads/cover_art/file/54572/coverart.jpg
No Guidance (feat. Drake),Chris Brown,dance pop,261,https://upload.wikimedia.org/wikipedia/en/e/ec/Chris_Brown_-_No_Guidance.png
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,158,https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f
Lalala,Y2K,canadian hip hop,161,https://upload.wikimedia.org/wikipedia/en/0/06/Y2K_and_Bbno%24_-_Lalala.png
Truth Hurts,Lizzo,escape room,173,https://upload.wikimedia.org/wikipedia/en/a/a9/LizzoTruthHurts.jpg
Piece Of Your Heart,MEDUZA,pop house,153,https://upload.wikimedia.org/wikipedia/en/b/b8/Meduza_-_Piece_of_Your_Heart.png
Panini,Lil Nas X,country rap,115,https://upload.wikimedia.org/wikipedia/en/3/32/Panini_Remix_Cover.jpg
If I Can't Have You,Shawn Mendes,canadian pop,191,https://upload.wikimedia.org/wikipedia/en/a/a7/Shawn_Mendes_-_If_I_Can%27t_Have_You.png
Dance Monkey,Tones and I,australian pop,210,https://upload.wikimedia.org/wikipedia/en/1/1f/Dance_Monkey_by_Tones_and_I.jpg
Takeaway,The Chainsmokers,edm,210,https://upload.wikimedia.org/wikipedia/en/4/47/Takeaway_%28song%29.jpg
7 rings,Ariana Grande,dance pop,179,https://upload.wikimedia.org/wikipedia/en/b/b7/Ariana_Grande_-_7_rings.png
The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,200,https://upload.wikimedia.org/wikipedia/en/6/6f/Young_Thug%2C_J._Cole_and_Travis_Scott_-_The_London.png
Never Really Over,Katy Perry,dance pop,224,https://www.udiscovermusic.com/wp-content/uploads/2019/05/Katy-Perry-Never-Really-Over.jpg
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,big room,164,https://upload.wikimedia.org/wikipedia/en/4/46/Martin_Garrix_-_Summer_Days.png
Higher Love,Kygo,edm,228,https://static.stereogum.com/uploads/2019/06/D-HFC1jWwAATV-Y-1561688704-1000x1000.jpeg
You Need To Calm Down,Taylor Swift,dance pop,171,https://upload.wikimedia.org/wikipedia/en/2/27/Taylor_Swift_-_You_Need_to_Calm_Down.png
Shallow,Lady Gaga,dance pop,216,https://lastfm.freetls.fastly.net/i/u/ar0/0dfb22420177633c6791b5de808809db.jpg
Talk,Khalid,pop,198,https://upload.wikimedia.org/wikipedia/en/8/8f/Khalid_-_Talk.png
One Thing Right,Marshmello,brostep,182,https://upload.wikimedia.org/wikipedia/en/d/d2/Marshmello_and_Kane_Brown_-_One_Thing_Right.png
Happier,Marshmello,brostep,214,https://upload.wikimedia.org/wikipedia/en/e/e5/Marshmello_and_Bastille_Happier.png
Call You Mine,The Chainsmokers,edm,218,https://upload.wikimedia.org/wikipedia/en/8/85/The_Chainsmokers_-_Call_You_Mine.png
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,206,https://upload.wikimedia.org/wikipedia/en/4/4d/Ed_Sheeran_-_Cross_Me.png
