Senorita,Shawn Mendes,canadian pop,191
China,Anuel AA,reggaeton flow,302
boyfriend (with Social House),Ariana Grande,dance pop,186
Beautiful People (feat. Khalid),Ed Sheeran,pop,198
Goodbyes (Feat. Young Thug),Post Malone,dfw rap,175
I Don't Care (with Justin Bieber),Ed Sheeran,pop,220
Ransom,Lil Tecca,trap music,131
How Do You Sleep?,Sam Smith,pop,202
Old Town Road - Remix,Lil Nas X,country rap,157
bad guy,Billie Eilish,electropop,194
Callaita,Bad Bunny,reggaeton,251
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop,185
Someone You Loved,Lewis Capaldi,pop,182
Otro Trago - Remix,Sech,panamanian pop,288
Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,205
No Guidance (feat. Drake),Chris Brown,dance pop,261
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,158
Lalala,Y2K,canadian hip hop,161
Truth Hurts,Lizzo,escape room,173
Piece Of Your Heart,MEDUZA,pop house,153
Panini,Lil Nas X,country rap,115
No Me Conoce - Remix,Jhay Cortez,reggaeton flow,309
Soltera - Remix,Lunay,latin,266
bad guy (with Justin Bieber),Billie Eilish,electropop,195
If I Can't Have You,Shawn Mendes,canadian pop,191
Dance Monkey,Tones and I,australian pop,210
It's You,Ali Gatie,canadian hip hop,213
Con Calma,Daddy Yankee,latin,193
QUE PRETENDES,J Balvin,latin,222
Takeaway,The Chainsmokers,edm,210
7 rings,Ariana Grande,dance pop,179
The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,200
Never Really Over,Katy Perry,dance pop,224
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,big room,164
Otro Trago,Sech,panamanian pop,226
Antisocial (with Travis Scott),Ed Sheeran,pop,162
Sucker,Jonas Brothers,boy band,181
Higher Love,Kygo,edm,228
You Need To Calm Down,Taylor Swift,dance pop,171
Shallow,Lady Gaga,dance pop,216
Talk,Khalid,pop,198
One Thing Right,Marshmello,brostep,182
Happier,Marshmello,brostep,214
Call You Mine,The Chainsmokers,edm,218
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,206
